Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,Difficulty
burp,4,466,6.14,725.52,-0.33,304.89,33.0,0.97,0.20807615
burr,4,942,6.85,855.39,0.36,258.17,23.0,0.68,0.19097692
burro,5,111,4.71,771.5,0.03,471.9,14.0,0.44,0.32399675
burrow,6,258,5.55,689.54,-0.39,179.35,24.0,0.8,0.4801496
burrowed,8,47,3.85,926.27,0.53,299.68,26.0,0.81,0.610942
burrowing,9,2537,7.84,717.13,-0.01,178.9,24.0,0.77,0.6313766
burrows,7,584,6.37,798.36,-0.01,467.41,25.0,0.81,0.55961806
burrs,5,133,4.89,974.94,0.35,609.39,18.0,0.53,0.24797605
bursar,6,39,3.66,772.9,0.19,153.39,10.0,0.29,0.40686765
bursary,7,32,3.47,656.82,0.22,169.78,11.0,0.35,0.4760397
bursitis,8,48,3.87,921.25,0.34,413.49,8.0,0.26,0.53440285
burst,5,6353,8.76,697.28,-0.42,382.04,32.0,1.0,0.3180201
bursting,8,933,6.84,738.47,-0.25,237.59,34.0,0.97,0.51720905
bursts,6,1194,7.09,607.25,-0.55,137.3,32.0,0.97,0.38087475
burt,4,1634,7.4,667.04,-0.38,200.04,28.0,0.85,0.19655435
bury,4,2411,7.79,671.94,-0.37,195.01,31.0,0.94,0.21930146
bus,3,35778,10.49,566.65,-0.74,186.76,34.0,0.97,0.13574892
buses,5,2557,7.85,706.7,-0.21,279.18,30.0,0.91,0.24452047
bush,4,10889,9.3,599.47,-0.62,198.02,34.0,1.0,0.22094126
bushbaby,8,48,3.87,1067.75,0.94,561.14,16.0,0.5,0.64777863
bushel,6,198,5.29,667.59,-0.37,166.05,29.0,0.85,0.39642724
bushels,7,82,4.41,719.18,-0.07,197.98,33.0,0.94,0.50940186
bushes,6,1233,7.12,697.38,-0.32,268.51,34.0,1.0,0.38748848
bushing,7,304,5.72,721.63,-0.11,232.15,27.0,0.87,0.43645066
bushman,7,83,4.42,752.18,-0.07,221.64,28.0,0.85,0.5289333
bushwhack,9,4,1.39,1028.59,0.74,529.39,27.0,0.77,0.739565
bushwhacked,11,5,1.61,1036.1,0.64,335.98,29.0,0.88,0.80867904
bushy,5,453,6.12,669.38,-0.44,175.13,29.0,0.88,0.33770248
busied,6,54,3.99,907.69,0.58,475.81,26.0,0.81,0.33393633
busier,6,256,5.55,742.61,-0.06,207.35,23.0,0.7,0.31450328
busiest,7,321,5.77,788.43,-0.14,274.38,30.0,0.91,0.44088715
busily,6,313,5.75,751.79,-0.08,183.62,29.0,0.94,0.3937396
business,8,156876,11.96,646.0,-0.58,310.02,34.0,1.0,0.51476127
businesses,10,14115,9.55,806.06,-0.2,448.48,31.0,0.94,0.63524127
businesslike,12,143,4.96,819.74,0.06,314.34,31.0,1.0,0.81276256
businessman,11,1420,7.26,823.48,0.25,334.57,33.0,1.0,0.7673619
businessmen,11,1745,7.46,781.93,-0.01,300.1,30.0,0.97,0.7173115
businesswoman,13,68,4.22,913.55,0.36,390.2,29.0,0.94,0.87078047
busses,6,980,6.89,748.47,-0.16,243.59,30.0,0.97,0.36932075
bust,4,3078,8.03,600.48,-0.65,185.78,33.0,0.97,0.19566724
bustard,7,24,3.18,621.88,-0.73,180.93,8.0,0.24,0.48169327
busted,6,1724,7.45,662.91,-0.34,191.32,33.0,0.94,0.39304385
buster,6,2449,7.8,608.72,-0.5,130.46,32.0,0.97,0.38595197
bustle,6,162,5.09,735.76,-0.26,263.33,29.0,0.83,0.46227652
bustling,8,214,5.37,763.19,-0.05,260.45,32.0,0.94,0.55465746
busts,5,336,5.82,579.45,-0.72,146.32,31.0,0.91,0.26903692
busy,4,19614,9.88,601.53,-0.64,204.84,32.0,0.97,0.19465235
busybody,8,55,4.01,840.19,0.18,300.7,32.0,0.97,0.6120895
busyness,8,71,4.26,1006.76,0.89,325.54,25.0,0.86,0.5439753
but,3,2128964,14.57,657.85,-0.43,254.25,33.0,0.97,0.15127279
butane,6,217,5.38,797.08,0.26,206.66,24.0,0.73,0.40341997
butch,5,1568,7.36,717.84,-0.29,229.64,31.0,0.91,0.26804438
butcher,7,1840,7.52,703.58,-0.31,254.99,31.0,0.94,0.48071283
butchered,9,608,6.41,830.87,0.05,414.0,30.0,0.94,0.5772035
butchery,8,120,4.79,779.5,0.06,286.37,32.0,0.94,0.5877359
butler,6,3657,8.2,675.7,-0.45,376.76,30.0,0.94,0.38145432
butlers,7,39,3.66,829.26,0.13,359.82,34.0,1.0,0.46313703
butt,4,10344,9.24,658.97,-0.42,273.24,33.0,1.0,0.20175311
butte,5,356,5.87,773.0,0.21,190.72,10.0,0.29,0.31855685
butted,6,241,5.48,851.14,0.17,296.46,28.0,0.82,0.3997794
butter,6,6848,8.83,649.79,-0.47,250.19,34.0,1.0,0.3810252
butterbean,10,7,1.95,885.78,0.37,231.87,23.0,0.74,0.8192597
buttercup,9,81,4.39,731.12,-0.28,341.96,33.0,0.97,0.65797275
butterfat,9,41,3.71,1135.83,1.09,317.86,12.0,0.46,0.6700147
butterfingers,13,12,2.48,888.06,0.35,300.21,32.0,0.97,0.8259085
butterflies,11,673,6.51,782.79,-0.22,381.82,34.0,1.0,0.78199774
butterfly,9,1798,7.49,635.03,-0.5,182.87,33.0,0.94,0.65980273
buttermilk,10,288,5.66,709.78,-0.22,197.77,32.0,1.0,0.7316208
butternut,9,92,4.52,857.14,0.23,199.33,28.0,0.88,0.57215244
butterscotch,12,74,4.3,754.88,-0.03,228.14,32.0,0.97,0.81869084
buttery,7,181,5.2,825.0,0.09,333.49,29.0,0.88,0.5038161
butting,7,273,5.61,783.38,-0.08,246.54,24.0,0.75,0.4141274
buttocks,8,2399,7.78,707.41,-0.23,170.39,34.0,1.0,0.65992296
button,6,30330,10.32,597.65,-0.69,160.59,31.0,0.94,0.3663885
buttoned,8,189,5.24,761.18,0.03,242.99,34.0,1.0,0.53895104
buttonhole,10,64,4.16,985.33,0.67,357.23,30.0,0.88,0.7388811
buttonholes,11,124,4.82,965.61,0.49,427.51,31.0,0.94,0.75514996
buttonhook,10,9,2.2,846.06,0.5,251.64,33.0,0.97,0.74808776
buttons,7,11597,9.36,627.76,-0.62,164.95,34.0,1.0,0.4490618
buttonwood,10,51,3.93,869.82,0.33,296.03,17.0,0.57,0.72154146
buttress,8,104,4.64,742.96,-0.05,291.6,23.0,0.7,0.50717944
buttressed,10,58,4.06,990.93,1.0,409.02,14.0,0.42,0.6026628
buttresses,10,34,3.53,780.38,0.04,249.87,21.0,0.7,0.65199286
butts,5,1725,7.45,664.06,-0.51,148.89,31.0,0.94,0.26179743
buxom,5,206,5.33,704.43,0.06,178.49,14.0,0.41,0.38579163
buy,3,130387,11.78,626.94,-0.48,256.41,33.0,1.0,0.16390471
buyer,5,17902,9.79,707.16,-0.15,199.79,31.0,0.97,0.29615957
buyers,6,7045,8.86,796.31,-0.12,422.98,32.0,0.94,0.38410997
buying,6,35503,10.48,700.85,-0.36,363.69,33.0,1.0,0.3320577
buys,4,4089,8.32,677.56,-0.4,171.64,32.0,0.91,0.21438967
buzz,4,3746,8.23,589.03,-0.67,183.07,34.0,1.0,0.23326625
buzzard,7,137,4.92,648.7,-0.38,237.39,30.0,0.88,0.5420104
buzzed,6,311,5.74,638.64,-0.46,164.8,33.0,0.97,0.45316848
buzzer,6,458,6.13,623.68,-0.51,200.65,34.0,1.0,0.43368348
buzzes,6,137,4.92,691.07,-0.35,246.98,30.0,0.94,0.4462007
buzzing,7,947,6.85,688.21,-0.45,228.59,34.0,0.97,0.46977893
by,2,1790440,14.4,591.73,-0.64,138.16,33.0,0.97,0.16729714
bye,3,8945,9.1,612.88,-0.6,148.6,33.0,0.94,0.16664441
bygone,6,174,5.16,892.12,0.19,347.51,26.0,0.76,0.45931336
bygones,7,44,3.78,982.91,0.79,338.92,23.0,0.66,0.5074284
bylaw,5,109,4.69,823.21,0.19,267.62,24.0,0.73,0.3816597
byline,6,266,5.58,841.29,0.3,361.11,14.0,0.42,0.46917498
bypass,6,2733,7.91,620.71,-0.43,178.89,31.0,0.97,0.4403566
bypassed,8,634,6.45,785.16,0.0,242.02,31.0,1.0,0.5726346
bypath,6,0,0.0,857.25,0.18,282.44,20.0,0.74,0.4473952
byproduct,9,376,5.93,922.88,0.49,478.39,25.0,0.78,0.626267
byproducts,10,251,5.53,883.17,0.5,245.64,23.0,0.7,0.64245987
byroad,6,0,0.0,1028.67,1.18,185.19,6.0,0.19,0.41285738
byron,5,2427,7.79,785.38,-0.07,245.62,29.0,0.83,0.28352997
bystander,9,308,5.73,704.07,-0.27,191.49,28.0,0.85,0.5726224
byway,5,12,2.48,795.1,0.04,377.85,31.0,0.89,0.42611113
byword,6,26,3.26,853.89,0.5,258.97,19.0,0.58,0.4323262
byzantine,9,892,6.79,789.62,0.22,261.65,21.0,0.6,0.647806
byzantium,9,463,6.14,882.95,0.46,357.72,19.0,0.59,0.6612613
cab,3,3387,8.13,644.27,-0.54,176.53,33.0,0.97,0.18919477
cabana,6,124,4.82,804.94,0.23,306.06,18.0,0.55,0.43984252
cabanas,7,39,3.66,1002.67,0.81,319.49,18.0,0.58,0.5554255
cabaret,7,688,6.53,864.77,0.32,344.35,26.0,0.79,0.5637482
cabbage,7,1124,7.02,630.9,-0.51,126.46,30.0,0.97,0.60801136
cabby,5,35,3.56,729.59,-0.15,208.24,22.0,0.67,0.4399344
cabdriver,9,25,3.22,975.35,0.37,317.53,31.0,0.94,0.6520405
cabin,5,3130,8.05,644.94,-0.52,255.82,34.0,1.0,0.30540484
cabinet,7,6439,8.77,684.91,-0.5,373.38,33.0,0.97,0.56331635
cabinetmakers,13,8,2.08,1043.44,0.85,497.68,27.0,0.84,0.9207278
cabinets,8,1229,7.11,590.0,-0.66,113.11,31.0,0.97,0.5995261
cabins,6,786,6.67,699.97,-0.23,223.09,34.0,1.0,0.36300957
cable,5,41840,10.64,584.82,-0.79,175.73,34.0,1.0,0.332138
cabled,6,153,5.03,740.03,-0.22,297.47,30.0,0.91,0.4075312
cablegram,9,4,1.39,1118.22,1.11,452.96,9.0,0.3,0.71910024
cables,6,9147,9.12,636.55,-0.43,193.05,33.0,0.97,0.39605072
caboodle,8,13,2.56,835.8,0.28,317.4,20.0,0.61,0.6122173
caboose,7,248,5.51,844.17,0.19,247.45,24.0,0.69,0.5710405
cabs,4,577,6.36,632.94,-0.44,176.6,31.0,0.91,0.2638228
cabstand,8,0,0.0,896.75,0.4,177.11,4.0,0.13,0.58642006
cacao,5,128,4.85,865.8,0.87,225.43,10.0,0.31,0.38474756
cache,5,28689,10.26,753.69,-0.19,245.06,29.0,0.88,0.32081878
cachet,6,131,4.88,791.21,0.22,222.65,24.0,0.75,0.43897268
cackle,6,143,4.96,737.19,0.0,287.06,26.0,0.76,0.5123635
cackled,7,65,4.17,843.12,0.2,283.97,26.0,0.74,0.5870025
cackly,6,0,0.0,888.14,0.17,399.38,14.0,0.44,0.4920225
cacophonist,11,0,0.0,888.0,0.55,315.7,13.0,0.43,0.85664123
cacophonous,11,79,4.37,900.75,0.82,311.6,12.0,0.39,0.8713429
cacophony,9,141,4.95,892.0,0.52,290.2,15.0,0.44,0.7436081
cactus,6,1211,7.1,729.62,-0.25,345.73,34.0,1.0,0.41169405
cad,3,8110,9.0,797.88,0.17,319.58,16.0,0.48,0.11657784
cadaver,7,196,5.28,718.38,0.05,149.74,26.0,0.81,0.4274727
cadaverous,10,16,2.77,1059.21,0.54,615.13,19.0,0.59,0.7449777
caddie,6,111,4.71,820.81,0.04,341.82,27.0,0.82,0.42502517
caddy,5,657,6.49,758.43,-0.01,219.88,30.0,0.91,0.31233746
cadence,7,1297,7.17,926.62,0.07,427.36,26.0,0.76,0.44290867
cadenza,7,162,5.09,986.88,0.72,368.88,16.0,0.52,0.50634
cadet,5,1017,6.92,744.68,-0.2,222.54,25.0,0.76,0.2627229
cadillac,8,960,6.87,732.58,-0.25,203.44,31.0,1.0,0.6562354
cadillacs,9,225,5.42,918.76,0.32,362.12,29.0,0.88,0.7251596
cadmium,7,150,5.01,1062.15,1.13,424.33,13.0,0.39,0.52209944
cadre,5,628,6.44,977.77,0.71,423.1,13.0,0.41,0.27012724
caesar,6,1388,7.24,738.84,-0.17,222.84,32.0,1.0,0.40660995
caesarean,9,77,4.34,1011.33,0.85,260.99,18.0,0.62,0.6663124
cafe,4,4444,8.4,653.88,-0.5,359.3,34.0,1.0,0.25629705
cafes,5,346,5.85,739.19,-0.25,286.08,27.0,0.87,0.31146544
cafeteria,9,878,6.78,768.79,0.0,305.87,34.0,1.0,0.6638145
cafeterias,10,78,4.36,855.48,0.22,277.84,23.0,0.74,0.7244507
caffeine,8,3216,8.08,684.78,-0.35,292.31,32.0,0.94,0.67995286
cage,4,8498,9.05,588.03,-0.71,168.25,31.0,0.94,0.22099376
caged,5,293,5.68,668.79,-0.41,213.5,34.0,0.94,0.30810854
cages,5,1289,7.16,664.09,-0.46,159.19,33.0,0.94,0.2720959
cagey,5,76,4.33,873.64,0.26,448.08,14.0,0.42,0.3784049
cahoots,7,161,5.08,873.33,0.57,293.44,18.0,0.51,0.5035429
caiman,6,35,3.56,888.0,0.19,196.4,6.0,0.18,0.44755322
cain,4,2114,7.66,699.11,-0.26,158.92,28.0,0.82,0.19888909
cairo,5,5467,8.61,785.21,-0.13,382.19,29.0,0.88,0.35802603
cajole,6,52,3.95,781.0,0.14,197.61,18.0,0.53,0.544585
cake,4,6250,8.74,563.53,-0.78,180.98,34.0,1.0,0.1951131
caked,5,83,4.42,711.19,-0.22,275.1,31.0,0.94,0.27223313
cakes,5,1339,7.2,615.19,-0.71,210.4,32.0,1.0,0.27145368
calabash,8,10,2.3,1083.56,0.95,505.43,9.0,0.27,0.7571821
calamine,8,37,3.61,1005.95,0.56,368.29,19.0,0.59,0.66320676
calamities,10,189,5.24,851.31,0.23,289.75,29.0,0.83,0.68531686
calamitous,10,63,4.14,1199.4,0.95,326.52,15.0,0.44,0.81834704
calamity,8,299,5.7,704.07,-0.01,217.17,29.0,0.88,0.6146459
calcification,13,32,3.47,904.73,0.51,266.19,15.0,0.52,0.7877799
calcified,9,118,4.77,955.35,0.66,399.63,20.0,0.63,0.6348232
calcify,7,3,1.1,1120.0,0.83,619.49,22.0,0.65,0.5827174
calcium,7,3158,8.06,655.38,-0.35,105.7,34.0,1.0,0.5529128
calculable,10,42,3.74,865.44,0.31,326.16,27.0,0.82,0.81130046
calculate,9,5720,8.65,637.88,-0.4,163.36,33.0,1.0,0.727388
calculated,10,4422,8.39,689.0,-0.49,224.06,32.0,0.97,0.7453393
calculating,11,1849,7.52,742.59,-0.34,308.49,34.0,1.0,0.7684708
calculation,11,3913,8.27,682.21,-0.38,186.44,33.0,1.0,0.7621578
calculations,12,5583,8.63,716.16,-0.23,202.23,32.0,0.97,0.7942313
calculator,10,3880,8.26,616.48,-0.52,118.2,29.0,0.91,0.76654893
calculators,11,1030,6.94,767.88,-0.22,382.69,32.0,0.97,0.8101558
calculus,8,2071,7.64,780.62,-0.23,408.73,34.0,0.97,0.67074007
calcutta,8,1221,7.11,736.5,-0.06,186.1,22.0,0.63,0.5804329
calendar,8,9382,9.15,636.0,-0.48,218.15,33.0,0.97,0.5728517
calendars,9,1277,7.15,737.97,-0.33,283.46,33.0,1.0,0.6274136
calf,4,1478,7.3,636.32,-0.49,185.23,31.0,0.91,0.29074696
calfskin,8,13,2.56,791.93,0.17,342.76,28.0,0.85,0.7781707
caliber,7,2112,7.66,790.03,-0.05,304.85,31.0,0.91,0.5811074
calibrate,9,450,6.11,767.47,-0.11,293.24,30.0,0.86,0.67350495
calibrated,10,695,6.54,828.43,0.26,236.84,30.0,0.91,0.68817824
calibrating,11,223,5.41,968.83,0.74,296.72,24.0,0.77,0.7163733
calibration,11,2629,7.87,787.13,0.09,231.13,24.0,0.75,0.71018887
calibrations,12,78,4.36,917.1,0.54,278.19,21.0,0.72,0.74615043
calico,6,532,6.28,742.8,-0.11,186.29,25.0,0.71,0.45165002
california,10,70311,11.16,701.09,-0.36,328.39,34.0,1.0,0.7020021
californians,12,490,6.19,844.53,0.48,218.57,32.0,0.94,0.7824951
caligula,8,172,5.15,830.55,0.21,284.03,11.0,0.33,0.6738236
caliper,7,280,5.63,848.65,0.18,298.89,20.0,0.61,0.59539586
calipers,8,322,5.77,971.0,0.36,475.56,17.0,0.52,0.64585525
caliph,6,104,4.64,906.67,0.42,133.66,3.0,0.09,0.49050188
caliphs,7,32,3.47,952.1,0.47,424.84,10.0,0.3,0.561795
calisthenics,12,51,3.93,1032.5,1.01,341.65,16.0,0.5,0.7832478
call,4,241962,12.4,580.06,-0.71,174.02,32.0,0.94,0.22327682
callable,8,277,5.62,766.25,-0.03,271.7,8.0,0.25,0.5881663
callboy,7,0,0.0,874.87,0.15,384.29,23.0,0.68,0.60274094
called,6,187701,12.14,555.76,-0.74,127.23,34.0,0.97,0.4150162
caller,6,4764,8.47,655.27,-0.46,207.23,33.0,0.97,0.42566913
callers,7,2787,7.93,728.74,-0.21,257.57,31.0,0.91,0.5099113
calligraphers,13,11,2.4,955.41,0.44,341.76,29.0,0.88,0.80827624
calligraphy,11,171,5.14,839.35,0.2,393.85,26.0,0.87,0.77645457
calling,7,37999,10.55,591.38,-0.58,141.35,34.0,1.0,0.45882422
callisthenic,12,0,0.0,1282.81,1.18,469.53,16.0,0.57,0.83551973
callous,7,690,6.54,720.88,-0.04,183.65,25.0,0.78,0.5776005
calloused,9,70,4.25,782.38,0.14,181.24,21.0,0.66,0.6238616
callously,9,90,4.5,787.12,0.07,191.89,25.0,0.76,0.6676868
callousness,11,115,4.74,861.2,0.31,337.22,25.0,0.76,0.8316726
callow,6,135,4.91,753.38,0.04,269.2,16.0,0.5,0.48151925
calls,5,46308,10.74,623.11,-0.49,190.16,35.0,1.0,0.28315306
callus,6,34,3.53,794.71,0.12,223.25,24.0,0.71,0.4332888
calluses,8,41,3.71,748.43,0.02,304.25,23.0,0.68,0.57775426
calm,4,6300,8.75,587.15,-0.68,193.63,33.0,1.0,0.25834116
calmed,6,590,6.38,638.66,-0.57,213.43,32.0,0.97,0.42295706
calmer,6,315,5.75,768.67,-0.28,341.97,30.0,0.91,0.42284513
calmest,7,30,3.4,755.15,0.03,278.6,26.0,0.76,0.53592664
calming,7,508,6.23,642.76,-0.59,292.71,34.0,1.0,0.48392898
calmly,6,1200,7.09,660.06,-0.32,321.99,32.0,0.97,0.48834193
calmness,8,158,5.06,647.48,-0.35,167.08,33.0,1.0,0.61052513
caloric,7,313,5.75,741.78,0.02,225.92,23.0,0.74,0.500809
calorie,7,455,6.12,665.47,-0.4,210.15,34.0,1.0,0.56544864
calories,8,2603,7.86,649.97,-0.32,203.48,34.0,1.0,0.58230656
calorimeter,11,106,4.66,1116.35,1.14,382.84,17.0,0.57,0.7940175
calorimetric,12,30,3.4,1158.0,1.34,335.43,14.0,0.47,0.8481098
calvary,7,638,6.46,662.97,-0.35,155.76,34.0,1.0,0.49857742
calve,5,29,3.37,956.56,0.31,469.23,16.0,0.48,0.3187948
calves,6,972,6.88,815.21,-0.13,457.85,29.0,0.91,0.39341873
calvin,6,4291,8.36,656.42,-0.48,128.9,33.0,1.0,0.40721208
calving,7,74,4.3,1012.44,0.4,470.04,16.0,0.47,0.4488239
calvinism,9,65,4.17,927.75,0.3,411.83,24.0,0.73,0.71363544
calvinist,9,97,4.57,820.33,0.15,292.11,27.0,0.79,0.71143204
calypso,7,373,5.92,854.25,0.12,387.59,28.0,0.85,0.6106033
cam,3,3831,8.25,667.29,-0.44,200.25,17.0,0.53,0.10557295
camaraderie,11,199,5.29,977.06,0.92,316.96,18.0,0.62,0.7148111
camber,6,533,6.28,740.5,-0.34,193.32,6.0,0.17,0.38596046
cambodia,8,1806,7.5,808.43,-0.06,412.57,30.0,0.88,0.58117384
cambodian,9,776,6.65,903.11,0.4,269.6,28.0,0.85,0.61453015
cambric,7,1,0.0,690.8,-0.06,51.93,5.0,0.15,0.4650394
cambridge,9,15186,9.63,743.79,-0.25,247.45,33.0,0.97,0.6678307
came,4,115002,11.65,668.48,-0.48,202.99,31.0,0.97,0.12118556
camel,5,3375,8.12,688.7,-0.44,227.14,33.0,0.97,0.20820656
camelhair,9,1,0.0,940.92,0.64,287.21,24.0,0.73,0.6233553
camelot,7,1139,7.04,668.75,-0.38,194.75,32.0,0.94,0.5051516
camels,6,492,6.2,608.23,-0.58,127.41,31.0,0.94,0.30902624
cameo,5,1087,6.99,665.06,-0.4,175.28,31.0,0.91,0.23842536
cameos,6,219,5.39,870.31,0.22,364.85,26.0,0.79,0.32045335
camera,6,18427,9.82,631.79,-0.5,185.34,34.0,1.0,0.28719807
cameraman,9,353,5.87,929.58,0.71,388.52,24.0,0.8,0.6062741
cameramen,9,66,4.19,991.61,0.64,355.62,28.0,0.85,0.51307565
cameras,7,5218,8.56,701.53,-0.23,185.55,34.0,1.0,0.40209654
camisole,8,89,4.49,863.92,0.19,279.68,24.0,0.73,0.5839912
camomile,8,22,3.09,914.45,0.54,261.22,22.0,0.69,0.57717216
camouflage,10,2468,7.81,869.96,0.31,354.65,28.0,0.93,0.73381305
camouflaged,11,126,4.84,973.25,0.64,515.39,28.0,0.9,0.7203278
camp,4,15938,9.68,652.91,-0.54,299.88,33.0,1.0,0.124374576
campaign,8,24070,10.09,707.85,-0.38,274.38,33.0,0.97,0.4154374
campaigned,10,377,5.93,828.14,0.14,266.6,29.0,0.91,0.5553356
campaigners,11,156,5.05,941.68,0.42,274.52,31.0,0.91,0.68273324
campaigning,11,1038,6.95,890.0,0.31,253.03,28.0,0.9,0.5743934
campaigns,9,3272,8.09,762.76,-0.02,278.18,34.0,1.0,0.4812797
camped,6,420,6.04,722.47,-0.19,252.97,32.0,0.91,0.28227904
camper,6,1010,6.92,635.38,-0.41,204.48,32.0,0.94,0.2848689
campers,7,459,6.13,613.47,-0.48,185.15,34.0,1.0,0.36300334
campfire,8,495,6.2,663.35,-0.49,209.56,34.0,0.97,0.52723205
campground,10,528,6.27,812.68,-0.13,290.28,31.0,0.94,0.649507
campgrounds,11,353,5.87,796.74,0.04,289.3,34.0,1.0,0.7085264
camphor,7,62,4.13,871.0,0.48,324.3,9.0,0.26,0.42436105
camping,7,4209,8.34,660.29,-0.43,289.43,34.0,0.97,0.33055654
campmate,8,2,0.69,1092.17,0.86,385.53,18.0,0.56,0.47386327
camps,5,6192,8.73,680.97,-0.4,235.22,33.0,0.97,0.1937789
campsite,8,414,6.03,812.24,-0.02,384.09,29.0,0.88,0.4878853
campsites,9,260,5.56,746.4,0.03,257.17,30.0,0.88,0.4996264
campus,6,13903,9.54,655.3,-0.55,312.65,33.0,0.97,0.31666425
campuses,8,1380,7.23,816.67,0.07,257.31,27.0,0.84,0.45461538
cams,4,475,6.16,754.47,0.07,202.87,15.0,0.45,0.14158972
can,3,1625073,14.3,596.41,-0.69,186.84,34.0,1.0,0.12428991
canada,6,83931,11.34,585.94,-0.62,114.39,32.0,1.0,0.33981463
canadian,8,30942,10.34,728.81,-0.17,301.99,32.0,0.94,0.48392603
canadians,9,3655,8.2,697.35,-0.27,218.26,34.0,1.0,0.55513877
canal,5,2775,7.93,637.39,-0.48,171.31,33.0,0.97,0.26319495
canals,6,466,6.14,697.9,-0.35,158.2,30.0,0.94,0.37427574
canary,6,720,6.58,840.0,0.07,433.9,26.0,0.81,0.4571349
canasta,7,63,4.14,886.23,0.25,268.84,13.0,0.38,0.45374757
cancan,6,3,1.1,823.8,0.09,463.16,15.0,0.52,0.3719219
cancel,6,20643,9.94,553.48,-0.8,188.58,33.0,1.0,0.35764065
cancellation,12,2496,7.82,738.87,-0.22,270.22,31.0,0.94,0.7182232
cancelled,9,27351,10.22,594.48,-0.67,104.24,33.0,0.97,0.5728917
cancelling,10,3315,8.11,689.36,-0.37,213.16,28.0,0.9,0.67386633
cancels,7,2461,7.81,763.0,-0.14,344.49,33.0,1.0,0.48373884
cancer,6,18210,9.81,616.53,-0.77,369.26,34.0,1.0,0.34600207
cancerous,9,231,5.44,948.83,0.26,453.85,30.0,0.91,0.69201255
cancers,7,811,6.7,659.76,-0.52,244.79,34.0,1.0,0.44171992
candelabra,10,2589,7.86,961.47,0.76,386.97,19.0,0.58,0.73281217
candescence,11,0,0.0,1113.43,1.14,505.95,14.0,0.44,0.73996377
candescent,10,0,0.0,1019.71,0.7,351.07,14.0,0.48,0.6757165
candid,6,647,6.47,744.53,-0.18,371.27,32.0,0.94,0.3695119
candidacy,9,667,6.5,827.75,-0.01,389.11,28.0,0.85,0.5889852
candidate,9,22638,10.03,694.29,-0.43,201.96,34.0,1.0,0.5743076
candidates,10,26167,10.17,690.44,-0.26,214.87,34.0,1.0,0.60008407
candidly,8,139,4.93,828.62,0.2,322.11,26.0,0.79,0.5243733
candied,7,122,4.8,812.55,0.06,285.34,29.0,0.85,0.4759148
candies,7,260,5.56,624.38,-0.52,174.42,34.0,1.0,0.4087736
candle,6,2719,7.91,580.65,-0.71,197.41,34.0,1.0,0.41015646
candlelight,11,388,5.96,734.27,-0.23,310.24,33.0,1.0,0.74592364
candlepower,11,23,3.14,990.69,0.81,387.71,29.0,0.88,0.784415
candles,7,1695,7.44,642.79,-0.63,163.15,33.0,0.97,0.45799863
candlestick,11,189,5.24,788.48,-0.07,262.97,33.0,0.97,0.7677943
candlewick,10,18,2.89,1008.79,0.72,336.34,29.0,0.88,0.7051466
candor,6,263,5.57,767.2,0.19,256.34,20.0,0.63,0.37384802
candy,5,4887,8.49,684.19,-0.53,349.1,32.0,0.97,0.31631756
cane,4,5405,8.6,613.1,-0.47,178.86,30.0,0.88,0.18545182
canine,6,1870,7.53,707.32,-0.12,283.91,28.0,0.85,0.38049
canister,8,519,6.25,714.42,-0.16,186.53,31.0,0.94,0.4830225
canisters,9,236,5.46,842.93,0.09,309.9,29.0,0.88,0.54051125
canker,6,88,4.48,879.58,0.3,260.86,19.0,0.56,0.40252513
cankerous,9,2,0.69,881.15,0.34,286.66,20.0,0.61,0.72532713
cannabis,8,3271,8.09,791.96,0.19,215.84,24.0,0.69,0.56642306
canned,6,2417,7.79,678.43,-0.32,175.72,30.0,0.88,0.35531318
cannelloni,10,17,2.83,1203.15,1.22,332.51,13.0,0.41,0.7211339
canneries,9,13,2.56,874.81,0.47,313.1,27.0,0.79,0.5568417
cannery,7,133,4.89,732.0,-0.08,314.09,23.0,0.82,0.48895335
cannibal,8,458,6.13,624.94,-0.41,132.19,33.0,1.0,0.51298183
cannibalistic,13,59,4.08,970.35,0.7,312.24,31.0,0.94,0.8178573
cannibalize,11,33,3.5,838.97,0.34,253.77,31.0,0.94,0.7762873
cannibals,9,233,5.45,694.57,-0.3,170.22,28.0,0.85,0.61330545
canning,7,544,6.3,745.47,-0.27,300.12,30.0,0.94,0.37068066
cannon,6,7579,8.93,551.52,-0.74,112.53,33.0,0.97,0.3535344
cannonball,10,472,6.16,833.91,0.15,353.84,32.0,0.94,0.7364456
cannot,6,108318,11.59,612.72,-0.58,204.26,32.0,0.94,0.42646277
canny,5,140,4.94,758.83,0.0,209.39,23.0,0.74,0.3233784
canoe,5,1727,7.45,723.58,-0.42,220.73,31.0,0.94,0.2838507
canoes,6,357,5.88,634.97,-0.42,104.3,30.0,0.94,0.35715
canon,5,6562,8.79,696.94,-0.34,188.3,32.0,1.0,0.26211625
canonist,8,3,1.1,1121.94,1.26,364.55,17.0,0.52,0.6086422
canonize,8,16,2.77,789.64,0.22,367.93,25.0,0.78,0.634606
canonized,9,90,4.5,932.59,0.42,342.94,22.0,0.65,0.61764073
canons,6,253,5.53,772.48,-0.13,200.42,27.0,0.9,0.32508725
canopy,6,1417,7.26,709.11,-0.18,234.64,35.0,1.0,0.46660832
